#Date	From: 2014/09/29	To: 2014/09/29
#Latitude	Min: 35.0	Max: 48.0
#Longitude	Min: 6.0	Max: 19.0
#Magnitude	Min: 0.0	Max: 10.0	Type: Mag pref
#Depth (km)	Min: ND	Max: ND
#Total earthquakes:	 31
#Origin time (UTC);Latitude;Longitude;Depth;Magnitude;Source;
2014-09-29 14:51:17.140;43.333;12.54;4.9;0.4--ML;SURVEY;
2014-09-29 14:25:47.790;42.699;12.892;10.7;0.9--ML;SURVEY;
2014-09-29 14:13:25.000;43.304;12.536;9.7;1.0--ML;SURVEY;
2014-09-29 13:31:52.730;42.619;13.24;12.2;1.8--ML;SURVEY;
2014-09-29 13:24:17.370;43.443;13.0;7.5;1.0--ML;SURVEY;
2014-09-29 13:15:37.860;41.311;14.071;7.9;2.0--ML;SURVEY;
2014-09-29 12:57:57.280;44.28;10.241;11.1;0.7--ML;SURVEY;
2014-09-29 12:56:42.780;38.392;15.442;124.5;1.9--ML;SURVEY;
2014-09-29 12:56:12.620;44.193;10.246;9.7;1.6--ML;SURVEY;
2014-09-29 12:06:18.840;42.584;13.165;11.0;1.4--ML;SURVEY;
2014-09-29 11:28:15.730;43.207;12.787;52.8;1.6--ML;SURVEY;
2014-09-29 11:21:16.350;43.142;13.167;9.4;1.2--ML;SURVEY;
2014-09-29 11:01:15.890;43.306;12.543;6.7;1.0--ML;SURVEY;
2014-09-29 10:59:42.180;43.3;12.545;7.3;1.2--ML;SURVEY;
2014-09-29 10:34:22.390;43.053;13.045;13.8;1.0--ML;SURVEY;
2014-09-29 10:26:06.180;43.454;12.534;10.2;1.1--ML;SURVEY;
2014-09-29 10:13:34.490;40.538;15.612;10.0;1.0--ML;SURVEY;
2014-09-29 10:06:32.130;43.054;13.044;11.0;1.7--ML;SURVEY;
2014-09-29 09:11:43.480;43.148;13.501;10.0;1.5--ML;SURVEY;
2014-09-29 08:53:28.770;43.33;12.594;5.3;1.2--ML;SURVEY;
2014-09-29 08:51:37.310;44.037;11.079;10.0;1.5--ML;SURVEY;
2014-09-29 08:38:33.390;43.425;12.717;16.1;1.0--ML;SURVEY;
2014-09-29 07:14:09.550;43.308;12.552;7.6;1.4--ML;SURVEY;
2014-09-29 07:06:54.430;40.82;15.319;6.4;2.0--ML;SURVEY;
2014-09-29 06:40:20.360;41.331;14.914;21.1;1.4--ML;SURVEY;
2014-09-29 06:38:28.960;42.701;13.155;14.0;1.2--ML;SURVEY;
2014-09-29 06:33:25.500;43.599;12.482;7.2;1.0--ML;SURVEY;
2014-09-29 03:16:59.620;42.464;13.309;11.6;1.2--ML;SURVEY;
2014-09-29 02:54:02.450;42.579;13.157;11.4;1.4--ML;SURVEY;
2014-09-29 01:28:35.970;44.322;7.029;8.7;1.3--ML;SURVEY;
2014-09-29 01:08:11.150;46.045;10.586;5.5;1.5--ML;SURVEY;
